"ID","Pergunta","A","Nó A","B","Nó B"
"1","Área interna da casa menor ou igual a 0,5?","SIM","2","NÃO","3"
"2","Área do porão menor ou igual a 0,5?","SIM","4","NÃO","5"
"3","Área do porão menor ou igual a 0,5?","SIM","6","NÃO","7"
"4","Número de quartos menor ou igual a 0,5?","SM","8","NÃO","9"
"5","Número de andares menor ou igual a 0,5?","SIM","10","NÃO","11"
"6","Condição da casa menor ou igual a 0,5?","SIM","12","NÃO","13"
"7","Número de quartos menor ou igual a 0,5?","SIM","14","NÃO","15"
"8","Número de banheiros menor ou igual a 0,5?","SM","16","NÃO","17"
"9","Condição da casa menor ou igual a 0,5?","SIM","18","NÃO","19"
"10","Tamanho das casas da vizinhança menor ou igual a 0,5?","SIM","20","NÃO","21"
"11","Ano de construção da casa menor ou igual a 0,5?","SIM","22","NÃO","23"
"12","Área interna das casas da vizinhança menor ou igual a 0,5?","SM","24","NÃO","25"
"13","Número de andares menor ou igual a 0,5?","SIM","26","NÃO","27"
"14","Latitude e Longitude menor ou igual a 0,5?","SIM","28","NÃO","29"
"15","Ano de construção da casa menor ou igual a 0,5?","SIM","30","NÃO","31"
"16","Condição da casa menor ou igual a 0,5?","SIM","32","NÃO","33"
"17","Nota da casa menor ou igual a 1,5?","SIM","34","NÃO","35"
"18","Latitude e Longitude menor ou igual a 0,5?","SIM","36","NÃO","37"
"19","Número de banheiros menor ou igual a 0,5?","SIM","38","NÃO","39"
"20","NÓ FOLHA","Sua casa está abaixo do preço de mercado","","",""
"21","Nota da casa menor ou igual a 1,5?","SIM","40","NÃO","41"
"22","Número de quartos menor ou igual a 0,5?","SIM","42","NÃO","43"
"23","Área dos pisos superiores menor ou igual a 0,5?","SIM","44","NÃO","45"
"24","NÓ FOLHA","Sua casa está abaixo do preço de mercado","","",""
"25","NÓ FOLHA","Sua casa está na média do preço de mercado","","",""
"26","Nota da casa menor ou igual a 1,5?","SIM","46","NÃO","47"
"27","Área dos pisos superiores menor ou igual a 0,5?","SIM","48","NÃO","49"
"28","Ano de construção da casa menor ou igual a 0,5?","SM","50","NÃO","51"
"29","NÓ FOLHA","Sua casa está na média do preço de mercado","","",""
"30","Nota da casa menor ou igual a 1,5?","SIM","52","NÃO","53"
"31","Nota da casa menor ou igual a 1,5?","SIM","54","NÃO","55"
"32","NÓ FOLHA","Sua casa está na média do preço de mercado","","",""
"33","NÓ FOLHA","Sua casa está na média do preço de mercado","","",""
